date,freq,variable,value
1957-01-01,m,BBFW,124.0
1957-01-01,m,BLUU,249.0
1957-02-01,m,BBFW,106.0
1957-02-01,m,BLUU,269.0
1957-03-01,m,BBFW,3969.0
1957-03-01,m,BLUU,283.0
1957-04-01,m,BBFW,2574.0
1957-04-01,m,BLUU,275.0
1957-05-01,m,BBFW,73.0
1957-05-01,m,BLUU,283.0
1957-06-01,m,BBFW,110.0
1957-06-01,m,BLUU,286.0
1957-07-01,m,BBFW,873.0
1957-07-01,m,BLUU,204.0
1957-08-01,m,BBFW,209.0
1957-08-01,m,BLUU,238.0
1957-09-01,m,BBFW,120.0
1957-09-01,m,BLUU,241.0
1957-10-01,m,BBFW,120.0
1957-10-01,m,BLUU,304.0
1957-11-01,m,BBFW,93.0
1957-11-01,m,BLUU,308.0
1957-12-01,m,BBFW,42.0
1957-12-01,m,BLUU,177.0
1958-01-01,a,BBFW,3462.0
1958-01-01,m,BBFW,99.0
1958-01-01,m,BLUU,294.0
1958-02-01,m,BBFW,113.0
1958-02-01,m,BLUU,280.0
1958-03-01,m,BBFW,196.0
1958-03-01,m,BLUU,275.0
1958-04-01,m,BBFW,188.0
1958-04-01,m,BLUU,233.0
1958-05-01,m,BBFW,1261.0
1958-05-01,m,BLUU,238.0
1958-06-01,m,BBFW,1071.0
1958-06-01,m,BLUU,226.0
1958-07-01,m,BBFW,96.0
1958-07-01,m,BLUU,213.0
1958-08-01,m,BBFW,76.0
1958-08-01,m,BLUU,205.0
1958-09-01,m,BBFW,102.0
1958-09-01,m,BLUU,258.0
1958-10-01,m,BBFW,142.0
1958-10-01,m,BLUU,294.0
1958-11-01,m,BBFW,79.0
1958-11-01,m,BLUU,213.0
1958-12-01,m,BBFW,41.0
1958-12-01,m,BLUU,108.0
1959-01-01,a,BBFW,5270.0
1959-01-01,m,BBFW,78.0
1959-01-01,a,BCAJ,23125.0
1959-01-01,m,BLUU,179.0
1959-01-01,a,DYDC,25555.0
1959-01-01,a,DYDH,25019.0
1959-01-01,a,DYZN,1835.0
1959-01-01,a,LOJU,0.0
1959-01-01,a,LOJX,595.0
1959-02-01,m,BBFW,163.0
1959-02-01,m,BLUU,207.0
1959-03-01,m,BBFW,141.0
1959-03-01,m,BLUU,208.0
1959-04-01,m,BBFW,139.0
1959-04-01,q,BCAJ,23125.0
1959-04-01,m,BLUU,233.0
1959-04-01,q,DYDC,25555.0
1959-04-01,q,DYDH,25019.0
1959-04-01,q,DYZN,1835.0
1959-04-01,q,LOJU,0.0
1959-04-01,q,LOJX,595.0
1959-05-01,m,BBFW,175.0
1959-05-01,m,BLUU,224.0
1959-06-01,m,BBFW,1032.0
1959-06-01,m,BLUU,229.0
1959-07-01,m,BBFW,2677.0
1959-07-01,q,BCAJ,23248.0
1959-07-01,m,BLUU,140.0
1959-07-01,q,DYDC,25660.0
